jx,alpha,beta,beta_alpha_ratio,result
80000000000.0,0.16,0.04,0.25,fail
80000000000.0,0.16,0.08,0.5,fail
80000000000.0,0.16,0.12,0.75,fail
80000000000.0,0.16,0.2,1.25,fail
80000000000.0,0.16,0.3,1.875,fail
80000000000.0,0.25,0.0,0.0,fail
80000000000.0,0.25,0.01,0.04,fail
80000000000.0,0.25,0.02,0.08,fail
80000000000.0,0.25,0.04,0.16,fail
80000000000.0,0.25,0.08,0.32,fail
80000000000.0,0.25,0.12,0.48,fail
80000000000.0,0.25,0.2,0.8,fail
80000000000.0,0.25,0.3,1.2,fail
800000000000.0,0.005,0.0,0.0,success
800000000000.0,0.005,0.01,2.0,success
800000000000.0,0.005,0.02,4.0,success
800000000000.0,0.005,0.04,8.0,fail
800000000000.0,0.005,0.08,16.0,fail
800000000000.0,0.005,0.12,24.0,fail
800000000000.0,0.005,0.2,40.0,fail
800000000000.0,0.005,0.3,60.0,fail
800000000000.0,0.01,0.0,0.0,success
800000000000.0,0.01,0.01,1.0,success
800000000000.0,0.01,0.02,2.0,success
800000000000.0,0.01,0.04,4.0,fail
800000000000.0,0.01,0.08,8.0,fail
800000000000.0,0.01,0.12,12.0,fail
800000000000.0,0.01,0.2,20.0,fail
800000000000.0,0.01,0.3,30.0,fail
800000000000.0,0.02,0.0,0.0,success
800000000000.0,0.02,0.01,0.5,success
800000000000.0,0.02,0.02,1.0,success
800000000000.0,0.02,0.04,2.0,success
800000000000.0,0.02,0.08,4.0,fail
800000000000.0,0.02,0.12,6.0,fail
800000000000.0,0.02,0.2,10.0,fail
800000000000.0,0.02,0.3,15.0,fail
800000000000.0,0.04,0.0,0.0,fail
800000000000.0,0.04,0.01,0.25,fail
800000000000.0,0.04,0.02,0.5,success
800000000000.0,0.04,0.04,1.0,success
800000000000.0,0.04,0.08,2.0,fail
800000000000.0,0.04,0.12,3.0,fail
800000000000.0,0.04,0.2,5.0,fail
800000000000.0,0.04,0.3,7.5,fail
800000000000.0,0.08,0.0,0.0,fail
800000000000.0,0.08,0.01,0.125,fail
800000000000.0,0.08,0.02,0.25,fail
800000000000.0,0.08,0.04,0.5,fail
800000000000.0,0.08,0.08,1.0,success
800000000000.0,0.08,0.12,1.5,fail
800000000000.0,0.08,0.2,2.5,fail
800000000000.0,0.08,0.3,3.75,fail
800000000000.0,0.16,0.0,0.0,fail
800000000000.0,0.16,0.01,0.0625,fail
800000000000.0,0.16,0.02,0.125,fail
800000000000.0,0.16,0.04,0.25,fail
800000000000.0,0.16,0.08,0.5,fail
800000000000.0,0.16,0.12,0.75,fail
800000000000.0,0.16,0.2,1.25,fail
800000000000.0,0.16,0.3,1.875,fail
800000000000.0,0.25,0.0,0.0,fail
800000000000.0,0.25,0.01,0.04,fail
800000000000.0,0.25,0.02,0.08,fail
800000000000.0,0.25,0.04,0.16,fail
800000000000.0,0.25,0.08,0.32,fail
800000000000.0,0.25,0.12,0.48,fail
800000000000.0,0.25,0.2,0.8,fail
800000000000.0,0.25,0.3,1.2,fail
800000000000.0,0.17,0.17,1.0,success
2200000000000.0,0.13,0.13,1.0,success
2200000000000.0,0.23,0.23,1.0,success
